feature_index,feature_name,matrix_block,family,subfamily,source_column_or_encoder,transform,used_in_main_I_LightGBM_Dense_AF,note
0,prefix_step_idx,dense,dense_numeric,process_numeric,prefix_step_idx,standardized numeric / bool cast / one-hot categorical,yes,
1,steps_observed_so_far,dense,dense_numeric,process_numeric,steps_observed_so_far,standardized numeric / bool cast / one-hot categorical,yes,
2,actions_so_far,dense,dense_numeric,process_numeric,actions_so_far,standardized numeric / bool cast / one-hot categorical,yes,
3,observations_so_far,dense,dense_numeric,process_numeric,observations_so_far,standardized numeric / bool cast / one-hot categorical,yes,
4,tool_messages_so_far,dense,dense_numeric,process_numeric,tool_messages_so_far,standardized numeric / bool cast / one-hot categorical,yes,
5,tool_calls_so_far,dense,dense_numeric,process_numeric,tool_calls_so_far,standardized numeric / bool cast / one-hot categorical,yes,
6,distinct_tools_so_far,dense,dense_numeric,process_numeric,distinct_tools_so_far,standardized numeric / bool cast / one-hot categorical,yes,
7,prefix_action_chars,dense,dense_numeric,process_numeric,prefix_action_chars,standardized numeric / bool cast / one-hot categorical,yes,
8,prefix_feedback_chars,dense,dense_numeric,process_numeric,prefix_feedback_chars,standardized numeric / bool cast / one-hot categorical,yes,
9,task_prompt_chars,dense,dense_numeric,task_prompt_length,task_prompt_chars,standardized numeric / bool cast / one-hot categorical,yes,
10,last_step_tool_count,dense,dense_numeric,process_numeric,last_step_tool_count,standardized numeric / bool cast / one-hot categorical,yes,
11,last_step_action_chars,dense,dense_numeric,process_numeric,last_step_action_chars,standardized numeric / bool cast / one-hot categorical,yes,
12,last_step_feedback_chars,dense,dense_numeric,process_numeric,last_step_feedback_chars,standardized numeric / bool cast / one-hot categorical,yes,
13,read_view_so_far,dense,dense_numeric,process_numeric,read_view_so_far,standardized numeric / bool cast / one-hot categorical,yes,
14,read_search_so_far,dense,dense_numeric,process_numeric,read_search_so_far,standardized numeric / bool cast / one-hot categorical,yes,
15,edit_create_so_far,dense,dense_numeric,process_numeric,edit_create_so_far,standardized numeric / bool cast / one-hot categorical,yes,
16,edit_replace_so_far,dense,dense_numeric,process_numeric,edit_replace_so_far,standardized numeric / bool cast / one-hot categorical,yes,
17,edit_insert_so_far,dense,dense_numeric,process_numeric,edit_insert_so_far,standardized numeric / bool cast / one-hot categorical,yes,
18,edit_undo_so_far,dense,dense_numeric,process_numeric,edit_undo_so_far,standardized numeric / bool cast / one-hot categorical,yes,
19,edits_so_far,dense,dense_numeric,process_numeric,edits_so_far,standardized numeric / bool cast / one-hot categorical,yes,
20,tests_so_far,dense,dense_numeric,process_numeric,tests_so_far,standardized numeric / bool cast / one-hot categorical,yes,
21,run_python_so_far,dense,dense_numeric,process_numeric,run_python_so_far,standardized numeric / bool cast / one-hot categorical,yes,
22,run_cli_so_far,dense,dense_numeric,process_numeric,run_cli_so_far,standardized numeric / bool cast / one-hot categorical,yes,
23,git_ops_so_far,dense,dense_numeric,process_numeric,git_ops_so_far,standardized numeric / bool cast / one-hot categorical,yes,
24,cleanup_so_far,dense,dense_numeric,process_numeric,cleanup_so_far,standardized numeric / bool cast / one-hot categorical,yes,
25,submit_so_far,dense,dense_numeric,process_numeric,submit_so_far,standardized numeric / bool cast / one-hot categorical,yes,
26,bash_calls_so_far,dense,dense_numeric,process_numeric,bash_calls_so_far,standardized numeric / bool cast / one-hot categorical,yes,
27,editor_calls_so_far,dense,dense_numeric,process_numeric,editor_calls_so_far,standardized numeric / bool cast / one-hot categorical,yes,
28,first_edit_step,dense,dense_numeric,process_numeric,first_edit_step,standardized numeric / bool cast / one-hot categorical,yes,
29,first_test_step,dense,dense_numeric,process_numeric,first_test_step,standardized numeric / bool cast / one-hot categorical,yes,
30,first_run_python_step,dense,dense_numeric,process_numeric,first_run_python_step,standardized numeric / bool cast / one-hot categorical,yes,
31,first_submit_step,dense,dense_numeric,process_numeric,first_submit_step,standardized numeric / bool cast / one-hot categorical,yes,
32,first_error_step,dense,dense_numeric,process_numeric,first_error_step,standardized numeric / bool cast / one-hot categorical,yes,
33,first_traceback_step,dense,dense_numeric,process_numeric,first_traceback_step,standardized numeric / bool cast / one-hot categorical,yes,
34,first_read_step,dense,dense_numeric,process_numeric,first_read_step,standardized numeric / bool cast / one-hot categorical,yes,
35,steps_since_last_edit,dense,dense_numeric,process_numeric,steps_since_last_edit,standardized numeric / bool cast / one-hot categorical,yes,
36,steps_since_last_test,dense,dense_numeric,process_numeric,steps_since_last_test,standardized numeric / bool cast / one-hot categorical,yes,
37,steps_since_last_submit,dense,dense_numeric,process_numeric,steps_since_last_submit,standardized numeric / bool cast / one-hot categorical,yes,
38,steps_since_last_error,dense,dense_numeric,process_numeric,steps_since_last_error,standardized numeric / bool cast / one-hot categorical,yes,
39,steps_since_last_traceback,dense,dense_numeric,process_numeric,steps_since_last_traceback,standardized numeric / bool cast / one-hot categorical,yes,
40,steps_since_last_read,dense,dense_numeric,process_numeric,steps_since_last_read,standardized numeric / bool cast / one-hot categorical,yes,
41,read_to_edit_ratio,dense,dense_numeric,process_numeric,read_to_edit_ratio,standardized numeric / bool cast / one-hot categorical,yes,
42,edit_to_test_ratio,dense,dense_numeric,process_numeric,edit_to_test_ratio,standardized numeric / bool cast / one-hot categorical,yes,
43,bash_to_editor_ratio,dense,dense_numeric,process_numeric,bash_to_editor_ratio,standardized numeric / bool cast / one-hot categorical,yes,
44,error_per_action_ratio,dense,dense_numeric,process_numeric,error_per_action_ratio,standardized numeric / bool cast / one-hot categorical,yes,
45,submit_per_action_ratio,dense,dense_numeric,process_numeric,submit_per_action_ratio,standardized numeric / bool cast / one-hot categorical,yes,
46,feedback_chars_per_action,dense,dense_numeric,process_numeric,feedback_chars_per_action,standardized numeric / bool cast / one-hot categorical,yes,
47,action_chars_per_step,dense,dense_numeric,process_numeric,action_chars_per_step,standardized numeric / bool cast / one-hot categorical,yes,
48,distinct_tools_per_step,dense,dense_numeric,process_numeric,distinct_tools_per_step,standardized numeric / bool cast / one-hot categorical,yes,
49,last_fail_count,dense,dense_numeric,process_numeric,last_fail_count,standardized numeric / bool cast / one-hot categorical,yes,
50,best_fail_count_so_far,dense,dense_numeric,process_numeric,best_fail_count_so_far,standardized numeric / bool cast / one-hot categorical,yes,
51,fail_count_delta_from_prev_test,dense,dense_numeric,process_numeric,fail_count_delta_from_prev_test,standardized numeric / bool cast / one-hot categorical,yes,
52,long_no_edit_streak,dense,dense_numeric,process_numeric,long_no_edit_streak,standardized numeric / bool cast / one-hot categorical,yes,
53,long_read_streak,dense,dense_numeric,process_numeric,long_read_streak,standardized numeric / bool cast / one-hot categorical,yes,
