benchmark,dataset_key,threshold,policy_mode,agent,agent_display,baseline_input_tokens_est,baseline_output_tokens_est,baseline_total_api_tokens_est,saved_input_tokens_est,saved_output_tokens_est,saved_total_api_tokens_est,baseline_external_input_tokens_est,saved_external_input_tokens_est,baseline_transcript_total_tokens_est,saved_transcript_total_tokens_est,trajectories,decided_trajectories,input_token_save_pct_est,output_token_save_pct_est,total_token_save_pct_est,external_input_token_save_pct_est,transcript_total_token_save_pct_est,token_method
SWE-bench Verified,sweverify,0.75,dual,20250807_mini-v1.7.0_gpt-5,GPT-5,143619746.0,2616202.0,146235948.0,65610696.0,937739.0,66548435.0,11575629.0,1890866.0,14191652.0,2828521.0,489,264,45.6836,35.8435,45.5076,16.3349,19.9309,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20250807_mini-v1.7.0_gpt-5-mini,GPT-5-Mini,159723763.0,2266042.0,161989805.0,88766495.0,956369.0,89722864.0,12017354.0,2967835.0,14283215.0,3924108.0,489,291,55.575,42.2044,55.388,24.6962,27.4736,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20250807_mini-v1.7.0_gpt-5-nano,GPT-5-Nano,883286856.0,7462706.0,890749562.0,748848168.0,4796709.0,753644877.0,8488624.0,3455424.0,15951132.0,8252016.0,488,303,84.7797,64.2757,84.6079,40.7065,51.7331,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20250822_mini-v1.9.1_glm-4.5,GLM-4.5,431179917.0,6172348.0,437352265.0,342610577.0,4344978.0,346955555.0,12787623.0,6988238.0,18959794.0,11333038.0,487,442,79.4588,70.3942,79.3309,54.6485,59.7741,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20250929_mini-v1.13.3_sonnet-4-5-20250929,Claude-Sonnet-4.5,562346940.0,8439351.0,570786291.0,434863599.0,5444212.0,440307811.0,114083133.0,109427973.0,122522277.0,114872059.0,488,390,77.3301,64.5098,77.1406,95.9195,93.7561,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,Gemini-3-Pro,368376195.0,4176482.0,372552677.0,284882364.0,2516910.0,287399274.0,10670168.0,5447052.0,14846452.0,7963798.0,489,423,77.3346,60.2639,77.1433,51.0494,53.6411,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251120_mini-v1.15.0_gpt-5.1-2025-11-13,GPT-5.1,348262307.0,3812980.0,352075287.0,229735463.0,2305529.0,232040992.0,18053845.0,6114623.0,21866626.0,8420000.0,489,401,65.9662,60.4653,65.9066,33.8688,38.5062,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251124_mini-v1.16.0_gpt-5.1-codex,GPT-5.1-Codex,280829612.0,1998022.0,282827634.0,195492494.0,1089135.0,196581629.0,11835130.0,4424143.0,13832947.0,5513156.0,489,355,69.6125,54.5107,69.5058,37.3814,39.8553,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251124_mini-v1.17.0_minimax-m2,MiniMax-M2,1262051027.0,9874808.0,1271925835.0,1046152776.0,7508340.0,1053661116.0,23294394.0,16002629.0,33169023.0,23510793.0,488,438,82.8931,76.0353,82.8398,68.6973,70.8818,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251201_mini-v1.17.1_deepseek-v3.2-reasoner,DeepSeek-V3.2,486735528.0,6541392.0,493276920.0,407965856.0,4916902.0,412882758.0,13618723.0,8449946.0,20159927.0,13366688.0,482,431,83.8167,75.166,83.702,62.0465,66.3033,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251201_mini-v1.17.1_glm-4.6,GLM-4.6,988282044.0,7461927.0,995743971.0,892759674.0,5602657.0,898362331.0,368108773.0,362628904.0,375570522.0,368231402.0,488,422,90.3345,75.0832,90.2202,98.5113,98.0459,context_call_input_chars4_plus_generated_output_chars4
SWE-bench Verified,sweverify,0.75,dual,20251209_mini-v1.17.2_devstral-2512,Devstral-Large,1231738310.0,10449642.0,1242187952.0,1069615112.0,8626192.0,1078241304.0,17073068.0,11338100.0,27522525.0,19964133.0,488,391,86.8379,82.5501,86.8018,66.4093,72.5374,context_call_input_chars4_plus_generated_output_chars4
