benchmark,dataset_key,threshold,policy_mode,baseline_input_tokens_est,baseline_output_tokens_est,baseline_total_api_tokens_est,saved_input_tokens_est,saved_output_tokens_est,saved_total_api_tokens_est,baseline_external_input_tokens_est,saved_external_input_tokens_est,baseline_transcript_total_tokens_est,saved_transcript_total_tokens_est,trajectories,decided_trajectories,token_method,input_token_save_pct_est,output_token_save_pct_est,total_token_save_pct_est,external_input_token_save_pct_est,transcript_total_token_save_pct_est
SWE-bench Verified,sweverify,0.75,dual,9834222036.0,95799228.0,9930021264.0,8004945864.0,66339591.0,8071285455.0,678043395.0,567229754.0,773839631.0,633567067.0,7805,6159,context_call_input_chars4_plus_generated_output_chars4,81.3989,69.2486,81.2817,83.6569,81.8732
SWE-bench Verified,sweverify,0.8,dual,9834222036.0,95799228.0,9930021264.0,7433679068.0,61120130.0,7494799198.0,678043395.0,558529042.0,773839631.0,619647030.0,7805,5758,context_call_input_chars4_plus_generated_output_chars4,75.5899,63.8002,75.4762,82.3736,80.0743
SWE-bench Verified,sweverify,0.85,dual,9834222036.0,95799228.0,9930021264.0,6632445333.0,54130351.0,6686575684.0,678043395.0,546031936.0,773839631.0,600160371.0,7805,5174,context_call_input_chars4_plus_generated_output_chars4,67.4425,56.504,67.337,80.5305,77.5562
SWE-bench Verified,sweverify,0.9,dual,9834222036.0,95799228.0,9930021264.0,5456117689.0,44697571.0,5500815260.0,678043395.0,426431450.0,773839631.0,471127368.0,7805,4383,context_call_input_chars4_plus_generated_output_chars4,55.4809,46.6575,55.3958,62.8915,60.8818
SWE-bench Verified,sweverify,0.95,dual,9834222036.0,95799228.0,9930021264.0,3234285638.0,27354719.0,3261640357.0,678043395.0,45479444.0,773839631.0,72833155.0,7805,2717,context_call_input_chars4_plus_generated_output_chars4,32.8881,28.5542,32.8463,6.7075,9.4119
SWE-bench Verified,sweverify,0.97,dual,9834222036.0,95799228.0,9930021264.0,2169102170.0,17233636.0,2186335806.0,678043395.0,27872243.0,773839631.0,45105250.0,7805,1595,context_call_input_chars4_plus_generated_output_chars4,22.0567,17.9893,22.0174,4.1107,5.8288
TerminalBench,terminalbench,0.75,dual,5158313849.0,147940053.0,5306253902.0,3770569288.0,70804281.0,3841373569.0,77114332.0,30813085.0,225042226.0,101611539.0,34118,14900,context_call_input_chars4_plus_generated_output_chars4,73.0969,47.8601,72.3933,39.9577,45.1522
TerminalBench,terminalbench,0.8,dual,5158313849.0,147940053.0,5306253902.0,3295266056.0,60709854.0,3355975910.0,77114332.0,26100094.0,225042226.0,86805139.0,34118,12525,context_call_input_chars4_plus_generated_output_chars4,63.8826,41.0368,63.2457,33.846,38.5728
TerminalBench,terminalbench,0.85,dual,5158313849.0,147940053.0,5306253902.0,2713364938.0,49268040.0,2762632978.0,77114332.0,21046771.0,225042226.0,70311002.0,34118,9759,context_call_input_chars4_plus_generated_output_chars4,52.6018,33.3027,52.0637,27.2929,31.2435
TerminalBench,terminalbench,0.9,dual,5158313849.0,147940053.0,5306253902.0,1985545804.0,35975033.0,2021520837.0,77114332.0,15160175.0,225042226.0,51132533.0,34118,6938,context_call_input_chars4_plus_generated_output_chars4,38.4921,24.3173,38.0969,19.6593,22.7213
TerminalBench,terminalbench,0.95,dual,5158313849.0,147940053.0,5306253902.0,965838772.0,18270627.0,984109399.0,77114332.0,7561357.0,225042226.0,25830670.0,34118,3447,context_call_input_chars4_plus_generated_output_chars4,18.7239,12.35,18.5462,9.8054,11.4781
TerminalBench,terminalbench,0.97,dual,5158313849.0,147940053.0,5306253902.0,445415086.0,8936577.0,454351663.0,77114332.0,3438776.0,225042226.0,12374686.0,34118,1673,context_call_input_chars4_plus_generated_output_chars4,8.6349,6.0407,8.5626,4.4593,5.4988
Toolathlon,toolathlon,0.75,dual,4478022894.0,23598055.0,4501620949.0,3038438989.0,11958418.0,3050397407.0,242054110.0,77026392.0,265649545.0,88983484.0,7116,3668,context_call_input_chars4_plus_generated_output_chars4,67.8522,50.6754,67.7622,31.822,33.4966
Toolathlon,toolathlon,0.8,dual,4478022894.0,23598055.0,4501620949.0,2796160116.0,10628767.0,2806788883.0,242054110.0,70031524.0,265649545.0,80659130.0,7116,3193,context_call_input_chars4_plus_generated_output_chars4,62.4418,45.0409,62.3506,28.9322,30.363
Toolathlon,toolathlon,0.85,dual,4478022894.0,23598055.0,4501620949.0,2474866189.0,8968650.0,2483834839.0,242054110.0,60742094.0,265649545.0,69709780.0,7116,2630,context_call_input_chars4_plus_generated_output_chars4,55.2669,38.0059,55.1765,25.0944,26.2413
Toolathlon,toolathlon,0.9,dual,4478022894.0,23598055.0,4501620949.0,1955751127.0,6878435.0,1962629562.0,242054110.0,47876327.0,265649545.0,54754048.0,7116,1962,context_call_input_chars4_plus_generated_output_chars4,43.6744,29.1483,43.5983,19.7792,20.6114
Toolathlon,toolathlon,0.95,dual,4478022894.0,23598055.0,4501620949.0,1234361213.0,4097927.0,1238459140.0,242054110.0,29173283.0,265649545.0,33270794.0,7116,1163,context_call_input_chars4_plus_generated_output_chars4,27.5649,17.3655,27.5114,12.0524,12.5243
Toolathlon,toolathlon,0.97,dual,4478022894.0,23598055.0,4501620949.0,665621161.0,2320251.0,667941412.0,242054110.0,15295006.0,265649545.0,17615022.0,7116,670,context_call_input_chars4_plus_generated_output_chars4,14.8642,9.8324,14.8378,6.3188,6.6309
